schema_name,table_name,column_name,data_type,data_type_ext,nullable,default_value,primary_key,foreign_key,unique_key,check_contraint,computed_column_definition,comments
dbo,_DocImport,content_type,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,_DocImport,created_at,datetime,datetime,Y,,,,,,NULL,NULL
dbo,_DocImport,created_by,nvarchar,nvarchar(128),Y,,,,,,NULL,NULL
dbo,_DocImport,doc_label,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,_DocImport,document_association,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,_DocImport,document_id,float,float,Y,,,,,,NULL,NULL
dbo,_DocImport,document_updated_at,datetime,datetime,Y,,,,,,NULL,NULL
dbo,_DocImport,F15,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,_DocImport,file_name,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,_DocImport,Fluxx_ID,float,float,Y,,,,,,NULL,NULL
dbo,_DocImport,model_document_type,float,float,Y,,,,,,NULL,NULL
dbo,_DocImport,SourceID,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,_DocImport,storage_type,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,_DocImport,updated_at,datetime,datetime,Y,,,,,,NULL,NULL
dbo,_DocImport,updated_by,nvarchar,nvarchar(128),Y,,,,,,NULL,NULL
dbo,Activities,ActivityId,int,int,N,,PK,,,,NULL,NULL
dbo,Activities,ActivityTypeId,int,int,N,,,FK,,,NULL,NULL
dbo,Activities,ChangeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,Activities,ChangeUserId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,ClassId,int,int,Y,,,,,,NULL,NULL
dbo,Activities,ClassName,varchar,varchar(100),N,,,,,,NULL,NULL
dbo,Activities,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,Activities,CreateUserId,int,int,N,,,,,,NULL,NULL
dbo,Activities,CustomFieldId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,Description,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,Activities,DocumentId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,FieldName,varchar,varchar(255),Y,,,,,,NULL,NULL
dbo,Activities,IntakeEntryId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,IntakeEntryPageId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,InteractionId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,NewValue,sql_variant,sql_variant,Y,,,,,,NULL,NULL
dbo,Activities,Notes,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,Activities,OldValue,sql_variant,sql_variant,Y,,,,,,NULL,NULL
dbo,Activities,OrganizationId,int,int,Y,,,,,,NULL,NULL
dbo,Activities,OriginalApplicationPageId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,ParentId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,PaymentId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,RegrantId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,RequestId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,RequirementId,int,int,Y,,,FK,,,NULL,NULL
dbo,Activities,SourceId,int,int,Y,,,,,,NULL,NULL
dbo,Activities,SourceTypeId,int,int,N,,,,,,NULL,NULL
dbo,Activities,TaskId,int,int,Y,,,FK,,,NULL,NULL
