tableField,table_name,Object,Object Label,Object Plural,column_name,Field Name,Field Label,Type,Length,Decimal Places,Reference To,Relationship Name,Relationship Label,Required,External Id,Unique,Track Field History
_DocImport.content_type,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,content_type,content_type__c,content_type,Text,255,,,,,,,,
_DocImport.created_at,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,created_at,created_at__c,created_at,DateTime,,,,,,,,,
_DocImport.created_by,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,created_by,created_by__c,created_by,Text,128,,,,,,,,
_DocImport.doc_label,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,doc_label,doc_label__c,doc_label,Text,255,,,,,,,,
_DocImport.document_association,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,document_association,document_association__c,document_association,Text,255,,,,,,,,
_DocImport.document_id,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,document_id,document_id__c,document_id,<unknown>,,,,,,,,,
_DocImport.document_updated_at,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,document_updated_at,document_updated_at__c,document_updated_at,DateTime,,,,,,,,,
_DocImport.F15,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,F15,F15__c,F15,Text,255,,,,,,,,
_DocImport.file_name,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,file_name,file_name__c,file_name,Text,255,,,,,,,,
_DocImport.Fluxx_ID,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,Fluxx_ID,Fluxx_ID__c,Fluxx_ID,<unknown>,,,,,,,,,
_DocImport.model_document_type,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,model_document_type,model_document_type__c,model_document_type,<unknown>,,,,,,,,,
_DocImport.SourceID,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,SourceID,SourceID__c,Source ID,Text,255,,,,,,,,
_DocImport.storage_type,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,storage_type,storage_type__c,storage_type,Text,255,,,,,,,,
_DocImport.updated_at,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,updated_at,updated_at__c,updated_at,DateTime,,,,,,,,,
_DocImport.updated_by,_DocImport,_DocImport__c,_Doc Import,_Doc Imports,updated_by,updated_by__c,updated_by,Text,128,,,,,,,,
Activities.ActivityId,Activities,Activity__c,Activity,Activities,ActivityId,ActivityId__c,Activity Id,Number,10,0,,,,,,,
Activities.ActivityTypeId,Activities,Activity__c,Activity,Activities,ActivityTypeId,ActivityTypeId__c,Activity Type Id,Number,10,0,,,,,,,
Activities.ChangeDate,Activities,Activity__c,Activity,Activities,ChangeDate,ChangeDate__c,Change Date,DateTime,,,,,,,,,
Activities.ChangeUserId,Activities,Activity__c,Activity,Activities,ChangeUserId,ChangeUserId__c,Change User Id,Number,10,0,,,,,,,
Activities.ClassId,Activities,Activity__c,Activity,Activities,ClassId,ClassId__c,Class Id,Number,10,0,,,,,,,
Activities.ClassName,Activities,Activity__c,Activity,Activities,ClassName,ClassName__c,Class Name,<unknown>,,,,,,,,,
Activities.CreateDate,Activities,Activity__c,Activity,Activities,CreateDate,CreateDate__c,Create Date,DateTime,,,,,,,,,
Activities.CreateUserId,Activities,Activity__c,Activity,Activities,CreateUserId,CreateUserId__c,Create User Id,Number,10,0,,,,,,,
Activities.CustomFieldId,Activities,Activity__c,Activity,Activities,CustomFieldId,CustomFieldId__c,Custom Field Id,Number,10,0,,,,,,,
Activities.Description,Activities,Activity__c,Activity,Activities,Description,Description__c,Description,Text,255,,,,,,,,
Activities.DocumentId,Activities,Activity__c,Activity,Activities,DocumentId,DocumentId__c,Document Id,Number,10,0,,,,,,,
Activities.FieldName,Activities,Activity__c,Activity,Activities,FieldName,FieldName__c,Field Name,<unknown>,,,,,,,,,
Activities.IntakeEntryId,Activities,Activity__c,Activity,Activities,IntakeEntryId,IntakeEntryId__c,Intake Entry Id,Number,10,0,,,,,,,
Activities.IntakeEntryPageId,Activities,Activity__c,Activity,Activities,IntakeEntryPageId,IntakeEntryPageId__c,Intake Entry Page Id,Number,10,0,,,,,,,
Activities.InteractionId,Activities,Activity__c,Activity,Activities,InteractionId,InteractionId__c,Interaction Id,Number,10,0,,,,,,,
Activities.NewValue,Activities,Activity__c,Activity,Activities,NewValue,NewValue__c,New Value,<unknown>,,,,,,,,,
Activities.Notes,Activities,Activity__c,Activity,Activities,Notes,Notes__c,Notes,Text,255,,,,,,,,
Activities.OldValue,Activities,Activity__c,Activity,Activities,OldValue,OldValue__c,Old Value,<unknown>,,,,,,,,,
Activities.OrganizationId,Activities,Activity__c,Activity,Activities,OrganizationId,OrganizationId__c,Organization Id,Number,10,0,,,,,,,
Activities.OriginalApplicationPageId,Activities,Activity__c,Activity,Activities,OriginalApplicationPageId,OriginalApplicationPageId__c,Original Application Page Id,Number,10,0,,,,,,,
Activities.ParentId,Activities,Activity__c,Activity,Activities,ParentId,ParentId__c,Parent Id,Number,10,0,,,,,,,
Activities.PaymentId,Activities,Activity__c,Activity,Activities,PaymentId,PaymentId__c,Payment Id,Number,10,0,,,,,,,
Activities.RegrantId,Activities,Activity__c,Activity,Activities,RegrantId,RegrantId__c,Regrant Id,Number,10,0,,,,,,,
Activities.RequestId,Activities,Activity__c,Activity,Activities,RequestId,RequestId__c,Request Id,Number,10,0,,,,,,,
Activities.RequirementId,Activities,Activity__c,Activity,Activities,RequirementId,RequirementId__c,Requirement Id,Number,10,0,,,,,,,
Activities.SourceId,Activities,Activity__c,Activity,Activities,SourceId,SourceId__c,Source Id,Number,10,0,,,,,,,
Activities.SourceTypeId,Activities,Activity__c,Activity,Activities,SourceTypeId,SourceTypeId__c,Source Type Id,Number,10,0,,,,,,,
Activities.TaskId,Activities,Activity__c,Activity,Activities,TaskId,TaskId__c,Task Id,Number,10,0,,,,,,,
Activities.UserId,Activities,Activity__c,Activity,Activities,UserId,UserId__c,User Id,Number,10,0,,,,,,,
ActivityTypes.ActivityTypeId,ActivityTypes,ActivityType__c,Activity Type,Activity Types,ActivityTypeId,ActivityTypeId__c,Activity Type Id,Number,10,0,,,,,,,
ActivityTypes.Category,ActivityTypes,ActivityType__c,Activity Type,Activity Types,Category,Category__c,Category,Text,50,,,,,,,,
ActivityTypes.ChangeDate,ActivityTypes,ActivityType__c,Activity Type,Activity Types,ChangeDate,ChangeDate__c,Change Date,DateTime,,,,,,,,,
